Jahr	Januar	Februar	März	April	Mai	Juni	Juli	August	September	Oktober	November	Dezember
1992	0,97	2,86	4,85	7,80	14,50	17,29	18,64	19,09	13,36	6,47	5,42	1,25
1993	2,46	-0,67	3,64	10,36	14,63	15,65	16,09	15,79	12,23	7,85	0,36	3,23
1994	2,96	-0,19	6,34	7,94	12,55	15,93	21,34	17,84	13,24	7,63	7,24	3,61
1995	0,18	4,58	3,11	8,48	12,23	14,34	20,07	18,27	12,58	11,78	2,97	-1,83
1996	-2,82	-2,19	0,99	8,40	11,15	15,65	15,89	17,15	10,90	9,17	4,48	-2,36
1997	-2,63	4,09	5,82	6,36	12,66	15,85	17,15	19,81	13,70	7,66	3,98	2,20
1998	2,39	4,33	4,98	8,85	14,03	16,45	16,42	16,73	13,35	8,70	1,55	0,99
1999	2,60	0,39	5,40	8,89	13,76	15,23	18,98	17,17	16,82	8,99	3,46	2,17
2000	1,06	3,87	5,17	10,15	14,62	16,99	15,30	17,60	13,91	10,56	6,10	3,12
2001	0,87	2,25	4,23	7,10	14,39	14,34	18,56	18,59	11,77	12,48	3,82	-0,21
2002	1,19	5,05	5,38	8,06	13,77	17,39	17,71	18,80	13,15	8,29	5,55	0,34
2003	-0,25	-1,85	5,33	8,50	14,14	19,35	19,11	20,56	13,85	5,94	6,02	1,81
2004	-0,09	2,44	4,12	9,35	11,58	15,27	16,80	18,43	14,01	10,08	4,21	1,08
2005	2,03	-1,02	3,63	9,26	12,76	16,38	18,02	15,78	14,99	10,99	4,17	0,87
2006	-2,59	-0,34	1,53	8,04	13,06	16,82	21,99	15,54	16,90	12,14	7,03	4,43
2007	4,76	3,96	6,20	11,52	14,16	17,38	17,24	16,86	12,58	8,35	3,67	1,59
2008	3,65	3,74	4,25	7,64	14,51	16,94	18,02	17,38	12,44	9,09	5,06	1,06
2009	-2,16	0,54	4,32	11,83	13,62	14,81	18,01	18,65	14,69	8,17	7,38	0,32
2010	-3,65	-0,47	4,20	8,69	10,43	16,33	20,33	16,70	12,39	8,13	4,76	-3,66
2011	0,96	0,93	4,91	11,59	13,87	16,54	16,10	17,73	15,21	9,38	4,50	3,90
2012	1,92	-2,51	6,94	8,08	14,19	15,47	17,42	18,40	13,61	8,67	5,21	1,50
2013	0,22	-0,71	0,11	8,06	11,83	15,69	19,50	17,94	13,36	10,63	4,61	3,60
2014	2,12	4,28	6,93	10,76	12,41	16,09	19,30	16,00	14,94	11,86	6,52	2,68
2015	2,20	0,70	5,24	8,36	12,31	15,79	19,43	19,87	13,00	8,39	7,51	6,50
2016	1,03	3,27	4,01	7,89	13,70	17,00	18,63	17,67	16,92	8,48	3,80	2,20
